communityname,state,population,householdsize,racepctblack,racepctwhite,racepctasian,racepcthisp,numburban,pcturban,medincome,pctwwage,pctwpubasst,pctwretire,medfaminc,percapinc,whitepercap,blackpercap,indianpercap,asianpercap,otherpercap,hisppercap,numunderpov,pctpopunderpov,pctless9thgrade,pctnothsgrad,pctbsormore,pctunemployed,pctemploy,pctemplmanu,pctemplprofserv,pctoccupmanu,pctoccupmgmtprof,malepctdivorce,malepctnevmarr,femalepctdiv,totalpctdiv,persperfam,pctfam2par,pctkids2par,pctyoungkids2par,pctimmigrecent,pctspeakenglonly,pctnotspeakenglwell,pctlarghousefam,pctlarghouseoccup,pctpersownoccup,pctpersdensehous,pcthousless3br,mednumbr,housvacant,pcthousoccup,pcthousownocc,pctvacantboarded,pctvacmore6mos,medyrhousbuilt,pcthousnophone,pctwofullplumb,ownocclowquart,ownoccmedval,ownocchiquart,ownoccqrange,rentlowq,rentmedian,renthighq,rentqrange,medrent,medrentpcthousinc,medowncostpctinc,medowncostpctincnomtg,numinshelters,numstreet,pctforeignborn,pctbornsamestate,pctsamehouse85,pctsamecity85,pctsamestate85,policreqperoffic,landarea,popdens,pctusepubtrans,lemaspctofficdrugun,murders,murdperpop,rapes,rapesperpop,robberies,robbbperpop,assaults,assaultperpop,burglaries,burglperpop,larcenies,larcperpop,autotheft,autotheftperpop,arsons,violentcrimesperpop,city,mayor,statename,party affiliation
Shermancity,TX,31601,2.54,12.63,83.22,0.77,4.39,31596,100.0,24763,73.92,7.02,15.2,29509,12929,14051,7496,9126,9107,5267.0,4542,4698,15.61,9.07,24.86,19.23,7.19,57.76,25.33,27.59,15.74,27.28,11.48,27.6,15.26,13.53,2.99,68.41,64.64,75.18,17.91,94.85,0.81,3.66,2.51,59.76,3.41,52.11,2,1807,87.33,57.83,2.77,42.34,1965,7.89,0.3,32200,49800,73600,41400,234,305,376,142,380,23.8,17.1,12.9,1,0,2.97,65.73,44.95,74.82,88.66,,38.7,816.1,0.0,0.0,1,3.11,29.0,90.25,71.0,220.96,131.0,407.69,468.0,1456.49,1817.0,5654.8,151.0,469.94,6.0,722.02,Sherman,Sherman P. Lea Sr.,Texas,
SanPablocity,CA,25158,2.89,21.34,49.42,17.21,26.78,25158,100.0,25479,73.45,23.63,13.18,28567,10505,11407,10412,8238,9546,8330.0,7813,4689,19.02,14.03,34.18,11.64,10.16,55.94,15.39,20.63,17.38,14.03,13.91,35.23,18.96,16.57,3.47,58.06,56.36,61.46,21.87,60.3,10.8,12.43,8.45,48.07,18.18,72.06,2,714,92.42,47.14,3.78,18.35,1963,6.25,0.64,92800,117900,142700,49900,406,503,596,190,564,33.0,24.3,11.8,20,49,26.41,47.45,38.61,69.21,89.27,,2.7,9387.3,11.22,0.0,12,44.42,21.0,77.73,309.0,1143.81,362.0,1340.0,478.0,1769.39,1460.0,5404.4,430.0,1591.71,20.0,2605.96,San Pablo,,California,
BowlingGreencity,KY,40641,2.54,12.18,86.39,1.12,0.68,0,0.0,20043,75.23,9.6,13.84,27655,11760,12608,6016,6636,9119,1982.0,16133,8759,23.91,15.28,28.52,23.41,6.93,58.62,16.08,29.05,15.13,27.47,10.16,39.19,13.43,11.95,2.92,64.6,60.7,71.28,33.23,96.72,0.59,2.99,1.87,53.11,2.49,53.27,2,1528,91.27,50.59,1.51,28.93,1966,10.67,0.23,40600,58200,84900,44300,193,267,329,136,332,27.9,20.0,12.3,28,2,1.54,70.53,41.51,72.68,88.87,,30.0,1354.2,0.28,0.0,3,6.54,36.0,78.53,58.0,126.52,269.0,586.8,582.0,1269.58,1786.0,3895.99,148.0,322.85,9.0,798.39,Bowling Green,Todd Alcott,Kentucky,
PineBluffcity,AR,57140,2.74,53.52,45.65,0.49,0.43,57140,100.0,19143,69.31,13.58,14.16,24442,9530,13974,5688,7669,12183,23509.0,10718,15283,27.71,14.49,34.5,16.56,11.05,51.37,17.94,27.79,18.07,22.71,10.92,30.7,14.18,12.74,3.26,58.65,50.22,63.07,26.04,96.83,0.54,7.86,5.5,61.62,5.43,46.91,3,2318,90.0,61.74,4.06,39.65,1964,11.65,0.73,28100,41200,59900,31800,152,219,287,135,333,29.1,17.5,15.7,28,0,0.71,80.16,56.01,85.46,92.02,359.5,43.9,1301.5,0.93,10.81,16,27.26,59.0,100.51,261.0,444.61,531.0,904.55,1754.0,2987.92,2010.0,3424.02,517.0,880.7,46.0,1476.93,Pine Bluff,Shirley Washington,Arkansas,
NewUlmcity,MN,13132,2.53,0.06,99.21,0.47,0.59,0,0.0,25797,73.95,6.6,12.89,32055,11907,11961,0,9097,5646,0.0,1810,863,6.84,16.28,25.41,15.31,3.67,65.62,27.69,20.11,22.67,21.74,6.08,27.56,8.37,7.32,3.04,79.99,81.44,87.19,13.45,91.11,0.42,3.61,2.46,80.28,0.94,38.26,3,180,96.65,74.48,0.0,40.56,1956,1.5,0.65,39700,53200,68900,29200,171,232,303,132,293,24.9,15.8,11.5,0,0,0.91,83.77,61.36,80.63,93.19,,8.9,1481.2,0.08,0.0,0,0.0,,,0.0,0.0,9.0,65.82,67.0,489.98,283.0,2069.62,21.0,153.58,1.0,,New Ulm,,Minnesota,
Maplewoodcity,MN,30954,2.69,2.52,94.39,2.03,1.55,30954,100.0,37856,82.29,4.87,16.45,43154,16459,16637,13140,12365,14634,9502.0,6914,1874,6.22,4.4,14.64,20.28,4.17,68.12,21.56,22.97,11.78,27.0,8.23,28.8,11.14,9.75,3.07,76.68,76.9,84.85,10.1,95.05,0.69,3.71,2.75,80.79,1.43,42.87,3,624,94.85,75.86,2.08,25.96,1969,0.35,0.35,73100,87800,106700,33600,376,473,569,193,512,26.9,21.2,12.0,0,0,2.62,77.05,55.61,81.72,92.71,,17.9,1724.8,3.35,0.0,0,0.0,,,27.0,79.7,37.0,109.22,226.0,667.12,1618.0,4776.1,159.0,469.34,7.0,,Maplewood,Marylee Abrams,Minnesota,
Enfieldtown,CT,45532,2.85,2.65,95.72,1.04,2.28,43944,96.51,44635,84.94,3.78,18.37,48757,16723,17014,8297,13171,12425,10337.0,11655,1262,2.89,6.55,21.62,17.59,4.01,68.24,26.12,16.06,13.94,24.73,7.02,32.45,9.76,8.38,3.13,81.96,79.92,91.04,9.38,90.41,0.92,4.08,3.15,79.94,1.23,32.43,3,629,96.21,76.15,0.16,29.89,1960,0.89,0.13,128000,143400,164700,36700,394,563,676,282,668,24.8,22.6,13.1,8,1,5.22,47.43,60.3,83.68,88.85,,34.6,1314.3,1.28,0.0,1,2.19,0.0,0.0,23.0,50.46,17.0,37.29,282.0,618.62,906.0,1987.5,232.0,508.94,7.0,89.94,Enfield,Ken Nelson Jr.,Connecticut,
Glendalecity,CA,180038,2.62,1.3,74.02,14.14,20.96,180038,100.0,34372,76.17,11.27,11.51,39652,17966,19362,17693,20931,16696,9438.0,11182,25484,14.37,11.54,22.83,28.55,6.95,60.04,14.43,24.78,9.07,33.09,8.68,34.45,13.33,11.12,3.22,77.1,74.78,86.01,30.33,46.84,15.46,6.98,4.6,39.38,18.31,75.17,2,3510,95.13,38.71,2.25,17.69,1962,1.53,0.46,249800,343600,469800,220000,511,626,763,252,688,30.5,25.3,11.6,82,17,45.19,29.68,37.69,73.29,76.85,1245.5,31.7,5677.3,4.15,5.88,9,5.02,30.0,16.72,355.0,197.91,277.0,154.42,1596.0,889.74,4501.0,2509.23,1447.0,806.68,73.0,374.07,Glendale,Jerry Weiers,California,Republican
Worthingtoncity,OH,14869,2.67,2.28,94.74,2.67,0.74,14882,100.0,49851,81.88,1.59,19.47,58871,22647,22959,12964,15565,22630,9548.0,7828,340,2.35,1.33,5.95,54.76,2.57,66.85,10.06,43.92,2.33,53.3,5.73,22.37,11.09,8.64,3.01,82.5,82.05,94.94,11.79,94.75,0.53,2.47,1.9,85.62,0.43,18.79,3,164,97.14,82.53,0.61,30.49,1963,0.18,0.21,89100,117500,148000,58900,303,394,502,199,465,24.6,18.7,11.4,10,0,4.73,58.81,59.75,85.21,89.74,,5.8,2552.7,1.96,0.0,0,0.0,2.0,13.24,10.0,66.18,5.0,33.09,99.0,655.15,414.0,2739.73,18.0,119.12,4.0,112.5,Worthington,,Ohio,
Arlingtoncity,TX,261721,2.6,8.41,82.64,3.92,8.91,261763,100.0,35048,90.25,2.71,9.12,41620,16239,17420,11615,13416,11175,7804.0,9045,21272,8.21,3.71,12.19,29.99,4.99,74.65,18.91,18.97,10.6,30.91,10.73,30.21,14.79,12.77,3.14,78.19,75.99,87.64,19.03,87.44,2.2,4.07,2.8,58.0,4.95,47.54,3,12116,89.26,51.84,1.81,27.45,1978,5.5,0.14,64100,82800,110200,46100,312,382,469,157,444,23.7,22.0,11.8,47,1,7.64,51.54,36.76,67.01,84.09,983.1,96.4,2716.3,0.14,7.87,7,2.39,146.0,49.94,710.0,242.88,1396.0,477.55,3977.0,1360.48,11514.0,3938.78,2452.0,838.8,97.0,772.77,Arlington,Jim Ross,Texas,Unknown
Plymouthcity,MN,50889,2.77,1.61,95.66,2.04,1.02,50889,100.0,51314,92.25,2.41,7.95,59421,21908,22294,16470,10181,14316,1754.0,9794,1681,3.36,1.57,5.56,41.39,3.24,78.05,19.44,22.51,7.08,39.55,7.99,27.64,10.17,9.09,3.14,85.61,86.12,93.55,13.98,94.19,0.56,3.3,2.51,79.9,1.21,40.32,3,1255,93.6,73.63,0.08,14.5,1979,0.29,0.14,97700,127400,167500,69800,506,578,663,157,611,22.9,21.7,11.5,0,0,2.61,63.24,43.01,76.47,85.75,,34.1,1491.7,2.64,0.0,0,0.0,,,13.0,21.41,55.0,90.6,271.0,446.39,1468.0,2418.09,100.0,164.72,62.0,,Plymouth,Jeffry Wosje,Minnesota,
NewYorkcity,NY,7322564,2.6,28.71,52.26,7.0,24.36,7322564,100.0,29823,73.57,13.12,12.56,34360,16281,21972,10505,10861,12851,7151.0,8420,1384994,19.29,14.1,31.68,22.98,8.98,56.12,11.41,28.4,11.64,30.55,9.13,41.0,14.02,11.77,3.27,57.64,52.24,67.42,15.87,59.04,9.84,9.16,5.71,31.59,12.3,73.76,2,172768,94.23,28.64,4.83,40.33,1946,7.33,1.25,149700,189600,244600,94900,320,448,615,295,496,25.7,21.8,14.1,23383,10447,28.45,53.09,63.06,82.76,89.78,324.6,320.1,22878.2,54.33,6.91,1946,26.59,2818.0,38.5,86001.0,1174.95,62778.0,857.68,99207.0,1355.37,235132.0,3212.39,112464.0,1536.49,4443.0,2097.71,New York,Eric L. Adams,New York,
Marinacity,CA,26436,3.34,18.97,53.6,20.84,10.73,26436,100.0,29043,90.39,6.9,15.99,28870,11338,12871,10242,6333,9734,7196.0,8444,2328,9.67,5.8,15.83,17.01,3.5,75.2,6.69,20.66,9.67,20.38,7.15,24.55,11.83,9.33,3.32,80.12,77.88,90.58,12.27,71.79,4.31,7.26,6.07,31.74,11.94,55.65,2,353,95.73,34.5,0.57,3.12,1976,1.62,0.24,150800,172500,196500,45700,512,607,689,177,666,31.6,23.3,12.3,0,0,18.34,24.24,26.33,46.38,54.52,,9.1,2917.9,1.93,0.0,2,12.89,9.0,58.03,42.0,270.79,47.0,303.03,226.0,1457.12,547.0,3526.76,50.0,322.37,5.0,644.75,Marina,,California,
Lebanoncity,NH,12183,2.36,0.41,97.55,1.55,0.91,0,0.0,32221,84.63,3.37,10.47,40745,15012,15086,12405,20559,7679,7826.0,11733,728,6.07,5.83,17.61,26.78,3.14,69.56,14.87,36.57,11.79,29.23,9.73,28.87,13.85,11.94,2.93,74.41,72.56,84.48,23.14,93.31,1.23,1.9,1.18,58.03,1.26,56.02,2,545,90.47,51.73,1.28,34.31,1957,3.83,0.79,88900,117200,148400,59500,357,451,553,196,499,26.1,23.7,13.7,2,0,3.09,54.87,42.07,69.61,75.44,,41.8,291.4,0.75,0.0,0,0.0,1.0,8.07,0.0,0.0,17.0,137.13,64.0,516.25,582.0,4694.68,27.0,217.79,4.0,145.2,Lebanon,,New Hampshire,
Rockledgecity,FL,16023,2.63,13.79,83.94,1.42,2.4,16023,100.0,34934,80.47,2.74,23.43,39691,15534,16027,13246,9320,11052,9621.0,14449,904,5.75,4.07,14.21,21.25,5.39,64.92,18.44,24.03,9.88,32.44,10.45,23.08,13.36,11.99,2.96,77.22,72.98,82.62,10.38,93.6,0.75,3.74,2.82,78.92,2.26,29.4,3,437,93.31,77.85,1.14,29.52,1972,2.03,0.08,61700,73900,92300,30600,371,457,508,137,543,24.5,20.9,11.3,0,0,4.63,28.32,45.19,75.45,81.03,,10.1,1581.4,0.58,0.0,0,0.0,10.0,55.52,19.0,105.48,72.0,399.71,226.0,1254.65,721.0,4002.66,63.0,349.75,2.0,560.71,Rockledge,,Florida,
Rogerscity,AR,24692,2.54,0.06,97.72,0.77,1.86,0,0.0,26198,73.97,3.92,16.09,31007,12779,12784,0,13934,12182,9809.0,9511,2120,8.72,8.18,22.43,15.11,3.31,63.1,27.42,16.18,22.66,21.56,9.43,20.49,13.38,11.54,2.96,78.73,76.61,88.72,18.93,95.9,0.75,3.36,2.47,65.6,2.8,41.45,3,586,94.31,63.8,0.34,26.45,1976,8.04,0.4,44800,60300,75500,30700,252,302,373,121,389,24.8,19.6,11.7,0,0,1.43,40.4,39.82,70.19,77.43,,23.0,1073.9,0.0,0.0,0,0.0,9.0,29.18,10.0,32.42,44.0,142.64,233.0,755.34,1215.0,3938.79,48.0,155.61,6.0,204.23,Rogers,,Arkansas,
Bellairecity,TX,13842,2.35,0.41,94.65,1.98,7.95,13842,100.0,45892,80.46,0.73,15.55,53342,24462,24669,12941,16625,36559,10485.0,12650,460,3.33,2.73,7.59,48.93,2.69,70.55,8.73,31.56,3.65,48.83,9.63,23.77,15.57,12.8,2.86,78.29,77.07,91.35,0.85,89.62,1.21,2.69,1.82,75.61,1.36,30.49,3,319,94.85,75.35,1.25,32.6,1953,0.87,0.24,83600,108900,146700,63100,445,529,632,187,675,20.2,18.5,12.1,0,0,5.08,60.71,57.14,86.99,94.36,,3.7,3697.1,1.11,0.0,1,6.69,2.0,13.38,24.0,160.6,25.0,167.29,149.0,997.06,357.0,2388.92,45.0,301.12,1.0,347.97,Bellaire,,Texas,
ElCajoncity,CA,88693,2.7,2.92,87.36,2.82,13.97,88693,100.0,28108,78.15,12.74,16.03,32096,13518,14237,9215,9266,9291,7746.0,8951,11184,12.92,6.71,21.49,14.45,7.07,61.86,12.47,21.82,11.44,23.15,13.12,31.67,19.09,16.22,3.09,65.86,63.25,74.02,20.75,85.2,3.17,5.26,3.68,40.87,8.76,63.54,2,1560,95.47,40.71,1.47,11.03,1970,2.97,0.24,128100,158000,209600,81500,434,507,587,153,548,30.8,23.6,10.8,13,76,9.71,45.45,35.36,77.14,83.16,,14.9,5943.0,2.17,0.0,8,8.59,42.0,45.1,243.0,260.94,540.0,579.87,1368.0,1469.01,4316.0,4634.68,889.0,954.64,31.0,894.51,El Cajon,Bill Wells,California,
MosesLakecity,WA,11235,2.6,1.89,82.45,1.82,18.16,0,0.0,23258,72.45,10.28,16.58,28495,10965,11785,6562,18700,5910,6497.0,7045,1680,15.28,12.99,26.49,14.51,6.5,57.18,18.92,22.82,16.52,24.61,10.96,24.93,13.25,12.15,3.12,75.49,73.66,84.59,27.63,83.37,2.94,5.93,4.1,66.4,4.87,47.7,3,321,93.07,62.56,2.18,38.94,1963,6.75,0.32,40000,53900,74800,34800,195,268,343,148,306,26.2,16.1,11.5,0,0,6.19,48.88,44.43,76.23,87.33,,9.4,1189.1,0.09,0.0,2,14.57,20.0,145.72,3.0,21.86,132.0,961.75,217.0,1581.06,975.0,7103.83,55.0,400.73,8.0,1143.9,Moses Lake,,Washington,
WestMemphiscity,AR,28259,2.86,42.15,56.94,0.52,0.5,28259,100.0,22052,77.25,13.69,9.35,27523,10009,13654,5095,5019,15413,10764.0,9752,6410,22.94,15.88,37.55,10.76,8.34,59.29,14.03,21.22,19.96,20.04,11.69,29.48,16.28,14.22,3.33,60.12,51.11,61.99,0.0,98.41,0.18,7.83,5.91,58.69,6.3,43.55,3,626,94.04,57.74,8.31,28.75,1967,12.35,1.08,38900,50900,69100,30200,155,248,318,163,343,29.0,20.5,14.1,13,0,0.66,53.03,52.14,82.37,88.6,,14.9,1900.7,0.1,0.0,7,25.12,24.0,86.13,121.0,434.25,50.0,179.44,197.0,707.01,797.0,2860.32,238.0,854.15,0.0,724.95,West Memphis,,Arkansas,
Eunicecity,LA,11162,2.8,26.96,72.26,0.4,0.78,0,0.0,14874,62.83,18.81,11.52,19434,7635,9048,3617,6319,39010,29572.0,7060,4173,38.27,23.94,44.84,10.82,13.93,42.8,7.98,30.42,14.6,23.57,8.97,25.84,12.76,11.08,3.32,67.27,62.57,68.65,0.0,65.56,2.4,9.0,6.59,63.1,7.17,40.73,3,410,90.68,64.53,7.32,47.8,1963,14.35,0.64,24500,39100,56400,31900,114,165,226,112,261,28.6,23.0,15.3,0,0,0.22,93.09,62.57,89.93,98.48,,4.8,2323.5,0.78,0.0,0,0.0,2.0,17.4,9.0,78.28,160.0,1391.67,213.0,1852.66,297.0,2583.28,32.0,278.33,1.0,1487.34,Eunice,,Louisiana,
Laredocity,TX,122899,3.84,0.12,70.83,0.38,93.87,122899,100.0,18395,79.18,16.71,7.95,19910,6981,7674,2922,5577,13361,5195.0,6331,45126,37.29,36.26,51.16,11.63,11.24,51.36,5.4,23.07,14.83,21.99,6.18,32.64,10.95,8.73,4.16,75.51,67.71,84.14,14.07,8.15,21.64,21.34,18.23,61.58,26.43,53.73,2,1969,94.21,58.96,6.4,42.25,1972,12.42,2.11,33700,52500,75000,41300,161,245,339,178,315,27.6,22.6,12.8,4,0,24.37,67.12,60.11,86.08,91.7,797.9,34.1,3608.7,3.55,4.26,21,13.75,7.0,4.58,163.0,106.72,862.0,564.37,1720.0,1126.13,6246.0,4089.41,1040.0,680.91,80.0,689.42,Laredo,Victor Trevino,Texas,
Amsterdamcity,NY,20714,2.36,1.46,93.15,0.56,11.61,0,0.0,22166,65.0,7.08,21.6,29893,11991,12228,15778,0,15243,6326.0,7427,2756,13.5,12.54,31.33,12.33,8.97,52.65,23.6,25.83,19.07,22.91,9.34,29.7,11.8,10.7,2.96,65.74,62.69,67.57,10.56,78.98,2.49,4.07,2.62,53.56,1.79,36.94,3,713,92.49,50.94,2.1,59.05,1939,6.72,0.66,53400,71000,91900,38500,172,240,303,131,337,24.7,18.6,14.5,2,0,6.03,81.86,61.42,85.56,93.76,,6.2,3353.7,2.6,0.0,0,0.0,3.0,14.98,3.0,14.98,4.0,19.97,128.0,639.11,314.0,1567.81,17.0,84.88,,49.93,Amsterdam,,New York,
